Personnel Number,July_Incentive
617100049,0
618030024,408654
618030049,418781
618030189,390833
618030241,1000000
618040412,393750
618060092,0
618100175,139593
618110042,390833
618110077,2600000
618110087,0
618110097,950000
619020144,390833
619020207,390833
619020209,390833
619020320,390833
619020343,264542
619020468,26764
619030228,390833
619030390,0
619040194,0
619050074,408654
619050317,0
619050431,390833
619060201,750000
619070072,485946
619070107,0
619070140,390833
619070185,0
619070186,0
619080060,390833
619080083,0
619080327,116307
619080448,390833
619090315,408654
619100307,2600000
619100381,390833
619100392,0
619120117,0
620020520,390833
620020555,390833
620020636,390833
620020691,346267
620020705,264542
620020923,2600000
620030032,350000
620030052,390833
620030340,0
620060084,300000
620060085,139593
620060128,264542
620070012,488578
620070013,450000
620070020,0
620070050,408654
620080023,0
620080271,150000
620080295,650000
620080362,500000
620090070,390833
620090101,408654
620090168,264542
620090241,264542
620090386,0
620110075,139593
620110124,0
620110267,0
620110399,390833
620110408,205882
620110439,418781
620120027,0
620120056,0
620120148,0
620120306,1700000
620120386,1000000
621020118,390833
621020156,390833
621020289,390833
621020323,390833
621020329,390833
621020445,390833
621030280,0
621030380,390833
621030474,390833
621030477,390833
621030556,264542
621030557,0
621030642,390833
621030755,390833
621030759,148235
621030996,0
621031025,390833
621031108,390833
621040440,390833
621040446,750000
621040472,390833
621050241,139593
621050282,750000
621050490,390833
621060154,0
621060243,150000
621060393,390833
621060451,0
621070084,150000
621100149,390833
621100361,300000
621110013,157500
621110050,390833
621110051,390833
621110093,264542
621110165,390833
621110258,0
621110318,390833
621110376,1700000
621110407,650000
621110412,0
621110751,390833
621110916,390833
621120120,500000
621120205,390833
621120400,750000
621120401,390833
621120402,390833
622020056,0
622020079,390833
622020174,0
622020340,390833
622020578,390833
622020633,390833
622020636,390833
622020703,0
622020912,0
622020913,1000000
622020914,390833
622021048,500000
622021050,1000000
622021338,300000
622021407,0
622021557,390833
622021632,390833
622021707,390833
622021749,390833
622030022,182875
622030023,350000
622030225,1700000
622030226,390833
622030320,0
622030489,390833
622030504,0
622030533,390833
622030777,0
622040679,390833
622050074,390833
622050158,0
622050171,0
622050244,390833
622050246,390833
622050263,390833
622050265,390833
622050461,139593
622050496,390833
622050542,0
622050636,1000000
622060302,390833
622060307,390833
622060369,390833
622070130,390833
622070133,390833
622070156,750000
622070194,0
622070311,0
622070476,0
622070536,0
622070609,390833
622080106,0
622080448,390833
622080450,390833
622080451,390833
622080452,390833
622080455,390833
622080458,1000000
622090015,0
623030007,0
623030244,390833
623040186,390833
623040397,390833
623050010,390833
623060090,390833
623060116,414542
623080377,390833
623080378,0
623080380,650000
623080417,0
623080447,0
623080455,390833
623080475,0
623090019,390833
623090021,390833
623090032,150000
623090063,0
623090111,390833
623090139,650000
623090163,390833
623090194,150000
623090198,0
623090218,0
623090224,0
623090227,390833
623090280,0
623090325,0
623090362,0
623100170,390833
623100186,0
623100187,390833
623100203,390833
623100209,390833
623100210,300000
623100234,300000
623110084,0
623110209,0
623110211,390833
623110220,0
623110235,390833
623110250,390833
623120027,0
623120136,250000
624020037,390833
624020044,390833
624020085,390833
624020086,0
624020087,0
624020107,390833
624020152,150000
624020153,300000
624020155,390833
624020170,0
624020210,390833
624020214,390833
624020369,390833
624020479,390833
624020499,390833
624020551,0
624020552,390833
624030016,390833
624030038,0
624030105,300000
624030257,0
624030271,400000
624030294,390833
624030295,250000
624030362,0
624030533,0
624030607,0
624030608,300000
624030609,0
624030671,0
624040011,0
624040035,390833
624040238,0
624040270,0
624040282,400000
624040283,0
624040330,390833
624040331,390833
624040410,250000
624050151,0
624050200,0
624050331,0
624050450,0
624050492,390833
624060009,390833
624060028,390833
624060040,0
624060059,0
624060087,390833
624060131,0
624060132,390833
624060254,390833
624060316,150000
624060317,390833
624060318,0
624060331,300000
624060384,0
624070010,390833
624070011,390833
624070020,150000
624070060,150000
624070084,390833
624070225,390833
624070226,390833
624070227,390833
624070231,390833
624070250,390833
624070252,0
624070278,390833
624070337,390833
624070338,390833
624070339,390833
624070393,0
624070394,390833
624080015,250000
624080032,390833
624080082,350000
624080083,0
624080126,390833
624080127,150000
624080166,0
624080234,390833
624080235,390833
624080236,0
624080310,390833
624080340,390833
624080351,0
624080352,390833
624080354,390833
624080430,0
624090012,0
624090037,390833
624090048,390833
624090058,390833
624090059,390833
624090131,390833
624090178,390833
624090210,0
624090222,0
624090271,390833
624090320,390833
624090322,0
624090323,390833
624090346,0
624090373,390833
624090444,390833
624090502,390833
624100015,390833
624100065,0
624100171,390833
624100200,390833
624100230,390833
624100308,650000
624100316,350000
624100345,390833
624100346,0
624100457,390833
624100460,0
624110015,390833
624110084,390833
624110158,250000
624110228,650000
624110274,400000
624110346,390833
624120070,0
624120097,390833
624120130,0
624120143,390833
624120144,390833
625010030,0
625020044,390833
625020092,390833
625020143,139593
625020179,0
625020285,390833
625020286,390833
625020354,0
625020385,0
625020386,0
625020419,250000
625020420,390833
625020464,0
625020481,0
625020482,0
625020507,0
625020542,390833
625020543,390833
625020551,400000
625020591,300000
625020600,0
625020638,390833
625030004,0
625030005,0
625030006,0
625030021,0
625030063,0
625030090,0
625030091,390833
625030111,300000
625030143,0
625030144,390833
625030163,350000
625030164,300000
625030182,390833
625030234,150000
625030235,390833
625030242,390833
625030295,0
625030296,150000
625030360,150000
625030361,0
625030362,390833
625030363,250000
625030413,390833
625030438,0
625040140,390833
