MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
6,2/6/25,Tensaur Sport 2.0 CF I,900571950,1,900571950-1,United Kingdom,500,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 04-2,21A,624100460,50,MS.NGÂN,LEVEL 1,Dirty O'S(2),,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900630259,1,900630259-1,United Kingdom,430,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-1,32A,624060384,50,MS.VY,LEVEL 1,"Wrinkle(1),Dirty O'S(2)",,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900630354,1,900630354-1,United Kingdom,370,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,39A,625030296,50,MS.HUỲNH,LEVEL 1,"Dirty O'S(1),Dirty Upper(1)",,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900760933,1,900760933-1,Netherlands,790,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,80,MRS.NHI,LEVEL 1,"Dirty O'S(3),Wobbling(3)",,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900780169,1,900780169-1,Netherlands,352,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-2,12A,622021407,50,MS.VY,LEVEL 1,Dirty Upper(2),,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900790717,1,900790717-1,Netherlands,312,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-1,32A,624060384,50,MS.HUỲNH,LEVEL 1,Dirty Upper(2),,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900841636,1,900841636-1,United Kingdom,700,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,80,MRS.NHI,LEVEL 1,"Over Primer O'S(3),Thread Ends(4)",,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900855971,1,900855971-1,United Kingdom,480,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-2,8A,624020086,50,MRS.NHI,LEVEL 1,Bonding Gap(3),,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900860327,1,900860327-1,Netherlands,305,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-2,16A,624100316,50,MRS.NHI,LEVEL 1,"Wrinkle(2),Bonding Gap(3)",,,,,
6,2/6/25,Tensaur Sport 2.0 CF I,900886373,1,900886373-1,Netherlands,365,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,39A,625030296,50,MRS.NHI,LEVEL 1,"Dirty O'S(2),Bonding Gap(3)",,,,,
