MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
5,2/5/25,LITE RACER ADAPT 7.0 I,900561773,1,900561773-1,USA,960,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-2,35A,624080236,80,MS.HUỲNH,LEVEL 1,Dirty Collar Lining(2),,,,,
5,2/5/25,LITE RACER ADAPT 7.0 I,900561774,1,900561774-1,USA,"1,440",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,11A,622021048,125,MS.HUỲNH,LEVEL 1,Dirty Collar Lining(3),,,,,
5,2/5/25,LITE RACER ADAPT 7.0 I,900803498,1,900803498-1,USA,619,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-2,11A,622021048,80,MRS.NHI,LEVEL 1,"Wrinkle M'S(2),Thread Ends(3)",,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900334548,1,900334548-1,United Kingdom,"2,410",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,125,MR.NHỨT,LEVEL 1,Over Primer O'S(3),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900478313,1,900478313-1,Netherlands,"1,538",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-2,8A,624020086,125,MS.HUỲNH,LEVEL 1,"Dirty O'S(2),Bonding Gap(2),Poor Stitching(1)",,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900482242,1,900482242-1,Netherlands,642,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-2,36A,620080271,80,MR.THÁI,LEVEL 1,Dirty O'S(3),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900516806,1,900516806-1,Morocco,305,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-1,2A,621110407,50,MR.THÁI,LEVEL 1,Wobbling(3),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900760757,1,900760757-1,Netherlands,306,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,16A,624100316,50,MS.HUỲNH,LEVEL 1,Bonding Gap(2),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900835879,1,900835879-1,Italy,325,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,50,MR.THÁI,LEVEL 1,Dirty O'S(3),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900839662,1,900839662-1,United Kingdom,432,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-1,2A,621110407,50,MS.HUỲNH,LEVEL 1,Dirty Upper(2),,,,,
5,2/5/25,Tensaur Sport 2.0 CF I,900873251,1,900873251-1,Peru,324,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,50,MS.HUỲNH,LEVEL 1,Dirty Collar Lining(2),,,,,
5,2/5/25,VL COURT 3.0 K,900445036,1,900445036-1,USA,"2,080",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-2,8A,624020086,125,MS.HUỲNH,LEVEL 1,"Long/Short O'S(1),Dirty Collar Lining(2),Uneven Collar Top Line(2)",,,,,
5,2/5/25,LIGHTSHIFT,900323120,1,900323120-1,USA,"1,140",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-2,R4A,620080362,80,MS.VY,LEVEL 1,"Poor Stitching(1),Uneven Collar Top Line(2)",,,,,
5,2/5/25,LIGHTSHIFT,900323927,1,900323927-1,USA,"1,030",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 06-1,25A,624030105,80,MR.THÁI,LEVEL 1,"Over Cement(3),Wrinkle(3)",,,,,
