MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
8,8/1/2025,Tensaur Sport 2.0 CF I,900953244,1,900953244-1,Netherlands,512,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,80,MS.HUỲNH,CFA,Dirty O'S(1),,,,,
8,8/1/2025,VL COURT 3.0 K,900990332,1,900990332-1,Netherlands,329,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-1,15A,624050151,50,MRS.VY,CFA,"Wobbling(1),Over Cement(1)",,,,,
8,8/1/2025,VL COURT 3.0 K,900994033,1,900994033-1,Netherlands,"6,000",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 04-2,40A,625060019,250,MR.NHỨT,CFA,"Wobbling(3),Over Cement(6),Dirty O'S(2)",,,,,
8,8/1/2025,VL COURT 3.0 K,901153462,1,901153462-1,United Kingdom,325,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,50,MS.NGÂN,CFA,"Poor Attaching(1),Over Cement(1),Off Center Heel(1)",,,,,
8,8/1/2025,LITE RACER ADAPT 7.0 I,900857125,1,900857125-1,USA,309,NORMAL PO (PO THƯỜNG),REPACKING PO,5C,PASS,,,A,Asc 07-2,12A,622021407,50,MR.NHỨT,CFA,Dirty Collar Lining(1),,,,,
8,8/1/2025,LITE RACER ADAPT 7.0 I,901148824,1,901148824-1,USA,602,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-2,12A,622021407,80,MRS.NHI,CFA,"Over Cement(2),Wobbling(2),Dirty Collar Lining(2)",,,,,
8,8/1/2025,LITE RACER ADAPT 7.0 I,901161424,1,901161424-1,USA,304,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-2,12A,622021407,50,MS.NGÂN,CFA,"Over Cement O'S(1),Bonding Gap(1),Dirty Upper(1)",,,,,
8,8/1/2025,ASPYRE,901110396,1,901110396-1,USA,307,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-2,29A,624030533,50,MRS.VY,CFA,"Dirty Collar Lining(1),Wrinkle(1)",,,,,
8,8/1/2025,Tensaur Sport 2.0 CF K,900951803,1,900951803-1,United Kingdom,690,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 02-2,7A,625020551,80,MS.NGÂN,CFA,"Wrinkle(2),Dirty Upper(2),Over Cement(2)",,,,,
8,8/1/2025,Tensaur Sport 2.0 CF K,901153691,1,901153691-1,Chile,500,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-1,31A,624060331,50,MS.NGÂN,CFA,"Left/Right Quarter Mismatch(1),Bonding Gap(2)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901084987,1,901084987-1,Argentina,20,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,5,MRS.NHI,CFA,No issue,,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901085956,1,901085956-1,Mexico,195,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,32,MRS.NHI,CFA,Wrinkle Collar Lining(2),,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901088748,1,901088748-1,Colombia,496,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,14A,622030023,50,MRS.NHI,CFA,"Wrinkle Collar Lining(2),Bonding Gap(1)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901094102,1,901094102-1,Peru,522,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,80,MRS.NHI,CFA,"Dirty Collar Lining(2),Wrinkle Collar Lining(2)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901157686,1,901157686-1,Netherlands,349,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,39A,625030296,50,MRS.NHI,CFA,"Poor Shape(1),Left/Right Quarter Mismatch(1),Dirty Upper(1)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901171462,1,901171462-1,Netherlands,504,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,14A,622030023,80,MRS.NHI,CFA,Bonding Gap(2),,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901175867,1,901175867-1,Netherlands,300,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,50,MRS.NHI,CFA,"Dirty Upper(2),Left/Right Component Mismatch(2)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901180127,1,901180127-1,Italy,325,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,50,MS.NGÂN,CFA,Dirty Collar Lining(2),,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901184610,1,901184610-1,Italy,325,FAIL PO,REPACKING PO,15D,PASS,,,A,Asc 07-1,32A,624060384,50,MS.NGÂN,CFA,Dirty O'S(2),,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901184729,1,901184729-1,Italy,320,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-2,13A,622021338,50,MS.NGÂN,CFA,"Wrinkle(1),Wrinkle Collar Lining(1),Over Cement(1)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0 CF I,901195003,1,901195003-1,Netherlands,450,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,50,MRS.VY,CFA,Dirty Collar Lining(2),,,,,
8,8/1/2025,LIGHTSHIFT,900720806,1,900720806-1,South Korea,"2,510",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-1,31A,624060331,125,MRS.NHI,CFA,"Over Cement(3),Crooked Toe Cap(3)",,,,,
8,8/1/2025,Tensaur Sport 2.0 CF K,900950219,1,900950219-1,United Kingdom,"2,756",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 05-1,23A,624110228,125,MR.NHỨT,CFA,"Left/Right Component Mismatch(1),Dirty O'S(3)",,,,,
8,8/1/2025,Tensaur Sport 2.0 CF K,900911808,1,900911808-1,Netherlands,"1,527",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 02-1,27A,621030280,125,MS.NGÂN,CFA,"Poor Attaching(2),Dirty O'S(2),Dirty Upper(2)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0  CF K,901153293,1,901153293-1,Netherlands,343,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 03-1,35B,624080015,50,MR.NHỨT,CFA,"Wrinkle Collar Lining(1),Wobbling(1)",,,,,
8,8/1/2025,TENSAUR SPORT 3.0  CF K,901153479,1,901153479-1,Netherlands,925,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 01-2,42B,625030063,80,MS.HUỲNH,CFA,Bonding Gap(3),,,,,
