MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,PO TYPE,REPACKING PO,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
7,1/7/25,Tensaur Sport 2.0 CF I,900835550,1,900835550-1,Netherlands,632,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,80,MRS.LY,MANAGER,No issue,,LEVEL 1 (HUỲNH) AQL -> TOP MANAGER (MRS.LY),,,
7,1/7/25,Tensaur Sport 2.0 CF I,901047270,1,901047270-1,United Kingdom,165,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-1,9A,622080458,32,MR.THÁI,LEVEL 1,Dirty O'S(1),,,,,
7,1/7/25,Tensaur Sport 2.0 CF I,901047560,1,901047560-1,Utd.Arab Emir.,300,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 10-1,1A,625030111,50,MS.HUỲNH,LEVEL 1,Dirty Upper(1),,,,,
7,1/7/25,Tensaur Sport 2.0 CF I,901055055,1,901055055-1,Italy,400,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,2A,621110407,50,MS.HUỲNH,LEVEL 1,Dirty Upper(2),,,,,
7,1/7/25,VL COURT 3.0 K,900879292,1,900879292-1,Netherlands,426,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 01-2,4A,624060316,50,MR.NHỨT,LEVEL 1,Wobbling(2),,,,,
7,1/7/25,VL COURT 3.0 K,900965868,1,900965868-1,Colombia,397,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-1,15A,624050151,50,MS.HUỲNH,LEVEL 1,Over Cement(2),,,,,
7,1/7/25,VL COURT 3.0 K,901056611,1,901056611-1,Netherlands,500,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 03-2,8A,624020086,50,MS.HUỲNH,LEVEL 1,"Wobbling(2),Bonding Gap(1)",,,,,
7,1/7/25,VL COURT 3.0 K,901058347,1,901058347-1,Netherlands,861,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 02-2,7A,625020551,80,MRS.NHI,LEVEL 1,Dirty O'S(3),,,,,
7,1/7/25,LITE RACER ADAPT 7.0 I,900997656,1,900997656-1,USA,"1,023",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-2,10A,622021050,20,MR.BÌNH,LO,"Over Cement(2),Dirty Collar Lining(1),High/Low Toe Cap(1)",,,,,
7,1/7/25,ASPYRE 00s,900839650,1,900839650-1,Panama,173,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 08-2,39A,625030296,32,MR.NHỨT,LEVEL 1,No issue,,,,,
7,1/7/25,ULTRADREAM DNA EL C,900273005,1,900273005-1,USA,464,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-2,16A,624100316,50,MS.HUỲNH,LEVEL 1,"Wobbling(1),Dirty O'S(1)",,,,,
7,1/7/25,ULTRADREAM DNA EL C,900350259,1,900350259-1,USA,481,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 11-2,16A,624100316,50,MRS.NHI,LEVEL 1,"Over Cement(3),Dirty O'S(2)",,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900843045,1,900843045-1,Chile,600,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,80,MS.HUỲNH,LEVEL 1,Wobbling(3),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900953522,1,900953522-1,United Kingdom,550,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,80,MR.NHỨT,LEVEL 1,Over Cement(2),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,901044806,1,901044806-1,Netherlands,520,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 07-1,32A,624060384,80,MR.NHỨT,LEVEL 1,Bonding Gap(2),,,,,
7,1/7/25,Tensaur Sport 2.0 K,900884589,1,900884589-1,Canada,60,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,13,MRS.NHI,LEVEL 1,No issue,,,,,
7,1/7/25,Tensaur Sport 2.0 K,900888486,1,900888486-1,Canada,60,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,A,Asc 09-1,17A,624030271,13,MR.NHỨT,LEVEL 1,No issue,,,,,
7,1/7/25,LIGHTSHIFT,900990398,1,900990398-1,Japan,"1,040",JAPAN PO,REPACKING PO,R2B,PASS,,,A,Asc 01-2,4A,624060316,20,MR.BÌNH,LO,"Poor O'S(3),Over Cement M’S(1)",,,,,
7,1/7/25,LIGHTSHIFT,900990473,1,900990473-1,Japan,830,JAPAN PO,REPACKING PO,21B,PASS,,,A,Asc 02-2,7A,625020551,80,MS.HUỲNH,LEVEL 1,Over Primer O'S(2),,,,,
7,1/7/25,ADVANTAGE K,900844562,1,900844562-1,Japan,480,JAPAN PO,REPACKING PO,27A,PASS,,,B,Asc 02-2,38A,622020703,50,MS.HUỲNH,LEVEL 1,"Wobbling(1),Dirty Collar Lining(1)",,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900773166,1,900773166-1,Mexico,331,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 01-1,R2B,621060393,50,MR.NHỨT,LEVEL 1,Dirty Collar Lining(2),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900906562,1,900906562-1,Netherlands,666,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 02-1,25B,621100361,80,MRS.NHI,LEVEL 1,"Wobbling(3),Bonding Gap(2)",,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900949076,1,900949076-1,Netherlands,540,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 06-1,40B,625010030,80,MS.HUỲNH,LEVEL 1,"Wrinkle(1),Dirty O'S(1)",,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900951457,1,900951457-1,United Kingdom,900,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 06-2,26B,623090198,80,MS.HUỲNH,LEVEL 1,Crooked Toe Cap(2),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900951697,1,900951697-1,United Kingdom,300,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 06-2,26B,623090198,50,MR.NHỨT,LEVEL 1,"Over Primer O'S(1),Bonding Gap(1)",,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900987987,1,900987987-1,Brazil,283,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 06-2,26B,623090198,50,MRS.NHI,LEVEL 1,Dirty O'S(2),,,,,
7,1/7/25,Tensaur Sport 2.0 K,901088692,1,901088692-1,Brazil,185,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 07-1,33B,624050450,32,MR.NHỨT,LEVEL 1,No issue,,,,,
7,1/7/25,Tensaur Sport 2.0 K,901093482,1,901093482-1,Chile,202,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 07-1,33B,624050450,32,MS.HUỲNH,LEVEL 1,Thread Ends(2),,,,,
7,1/7/25,Tensaur Sport 2.0 K,901097563,1,901097563-1,Philippines,200,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,B,Asc 07-1,33B,624050450,32,MRS.VY,LEVEL 1,Long/Short Sole(1),,,,,
7,1/7/25,Tensaur Sport 2.0 K,900888321,1,900888321-1,Canada,"39,975",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,3200,P6,B,Asc 02-1,21B,622020056,125,MR.NHỨT,LEVEL 1,"Bonding Gap(3),Dirty Collar Lining(2)",,,,,
7,1/7/25,Tensaur Sport 2.0 K,900888321,1,900888321-1,Canada,"39,975",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,3200,P1,B,Asc 05-2,38B,624090346,32,MR.BÌNH,LO," High/Low Toe Cap(1),Dirty O'S(1),Over Cement(1),Poor O'S(1)",,,,,
7,1/7/25,GALAXY 7 M,900771994,1,900771994-1,Mexico,"2,627",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 11-1,25D,622070156,32,MR.BÌNH,LO,"Dirty M'S(1),Over Cement(1),Holes not punched properly(1)",,,,,
7,1/7/25,GALAXY 7 M,900944522,1,900944522-1,Mexico,"7,112",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,3200,P2,C,Asc 11-2,35D,623100234,125,MRS.NHI,LEVEL 1,"Wrinkle(3),Dirty O'S(2),Over Cement(5)",,,,,
7,1/7/25,GALAXY 7 M,900944522,1,900944522-1,Mexico,"7,112",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,712,PC,C,Asc 11-1,25D,622070156,80,MRS.NHI,LEVEL 1,"Thread Ends(3),Dirty M'S(2)",,,,,
7,1/7/25,GALAXY 7 W,900927053,1,900927053-1,Peru,300,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 05-1,7D,621110412,50,MS.HUỲNH,LEVEL 1,"High/Low Toe Cap(1),Over Cement(2)",,,,,
7,1/7/25,GALAXY 7 W,900927134,1,900927134-1,Netherlands,650,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 10-2,11D,624080127,80,MS.HUỲNH,LEVEL 1,"Dirty Upper(2),Bonding Gap(1)",,,,,
7,1/7/25,GALAXY 7 W,900927136,1,900927136-1,Netherlands,580,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 05-2,20D,624080083,80,MRS.NHI,LEVEL 1,"Over Cement(4),Dirty O'S(3)",,,,,
7,1/7/25,GALAXY 7 W,900964386,1,900964386-1,Italy,435,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 05-2,20D,624080083,50,MRS.NHI,LEVEL 1,"Wobbling(2),Dirty O'S(2)",,,,,
7,1/7/25,GALAXY 7 W,900965897,1,900965897-1,Netherlands,"1,003",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 08-1,16,621070084,80,MS.HUỲNH,LEVEL 1,"Dirty O'S(1),Toe Spring(1),Dirty Collar Lining(2)",,,,,
7,1/7/25,GALAXY 7 W,901029295,1,901029295-1,Netherlands,377,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 07-2,29D,624040410,50,MS.HUỲNH,LEVEL 1,Dirty Upper(1)Bonding Gap(1),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900841825,1,900841825-1,Canada,50,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 02-1,11D,624080127,8,MR.NHỨT,LEVEL 1,No issue,,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900843245,1,900843245-1,Canada,838,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 01-2,31D,624040282,80,MR.NHỨT,LEVEL 1,Bonding Gap(2),,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900843381,1,900843381-1,Canada,50,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,C,Asc 02-1,11D,624080127,8,MR.THÁI,LEVEL 1,No issue,,,,,
7,1/7/25,Tensaur Sport 2.0 CF K,900841971,1,900841971-1,Canada,"32,335",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,3200,P1,C,Asc 02-2,8C,624070252,125,MRS.NHI,LEVEL 1,"Wobbling(3),Wrinkle(3),Dirty O'S(4)",,,,,
7,1/7/25,VS PACE 2.0,900947292,1,900947292-1,Mexico,"24,850",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,2450,PC,D,Asc 01-2,33C,625030360,125,MR.THÁI,LEVEL 1,"Dirty Upper(4),Over Cement(4)",,,,,
7,1/7/25,VS PACE 2.0,900911792,1,900911792-1,United Kingdom,770,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 08-1,1C,623090139,80,MS.HUỲNH,LEVEL 1,"Over Cement(2),Dirty Upper(2)",,,,,
7,1/7/25,VS PACE 2.0,900913097,1,900913097-1,United Kingdom,770,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 06-1,2C,623080380,80,MRS.NHI,LEVEL 1,"Wrinkle(3),Over Cement(3)",,,,,
7,1/7/25,VS PACE 2.0,900915381,1,900915381-1,United Kingdom,770,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 07-1,9,621040446,80,MRS.NHI,LEVEL 1,"Wrinkle(2),Over Cement(3)",,,,,
7,1/7/25,ADVANTAGE,901049513,1,901049513-1,Peru,156,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 08-2,28C,624100065,32,MRS.NHI,LEVEL 1,Dirty Upper(1),,,,,
7,1/7/25,ADVANTAGE,901061046,1,901061046-1,USA,359,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 07-2,17C,624030608,50,MR.NHỨT,LEVEL 1,Dirty O'S(1),,,,,
7,1/7/25,VL COURT 3.0 EL C,900992771,1,900992771-1,Netherlands,340,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 04-2,12C,624080082,50,MS.NGÂN,LEVEL 1,"Wobbling(1),Dirty Upper(1)",,,,,
7,1/7/25,VL COURT 3.0 EL C,901044460,1,901044460-1,Canada,300,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 04-1,R5C,620120148,50,MRS.NHI,LEVEL 1,"Wrinkle(2),Dirty Upper(2)",,,,,
7,1/7/25,VL COURT 3.0 EL C,901052071,1,901052071-1,USA,308,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 04-1,R5C,620120148,50,MR.THÁI,LEVEL 1,Wobbling(3),,,,,
7,1/7/25,VL COURT 3.0 K,900964369,1,900964369-1,Netherlands,405,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 05-1,R6D,619080327,50,MS.NGÂN,LEVEL 1,"Wobbling(1),Dirty O'S(1)",,,,,
7,1/7/25,VL COURT 3.0 K,900994574,1,900994574-1,Netherlands,528,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 05-1,R2A,620060084,80,MRS.NHI,LEVEL 1,"Over Cement(2),Wrinkle(2),Bonding Gap(2)",,,,,
7,1/7/25,VL COURT 3.0 K,900878926,1,900878926-1,USA,556,NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 05-1,15C,624090322,20,MR.BÌNH,LO,"Broken Stitching(1),Over Cement(1)",,,,,
7,1/7/25,Tensaur Sport 2.0 K,901052403,1,901052403-1,Netherlands,"1,567",NORMAL PO (PO THƯỜNG),NORMAL PO,,PASS,,,D,Asc 10-2,34C,625020591,125,MS.HUỲNH,LEVEL 1,"Left/Right Component Mismatch(2),Crooked Toe Cap(1),Dirty Collar Lining(1)",,,,,
